value,description,codesystem,code,hpo
1,duchenne muscular dystrophy xl,cineas,1,HP:0003560
4,cleft lip palate unspecified,cineas,4,
11,acute lymphatic leukemia,cineas,11,HP:0006721
26,albinism unspecified,cineas,26,
35,amnion band syndrome,cineas,35,
36,amyoplasia,cineas,36,HP:0003634
37,amyotrophic lateral sclerosis ad,cineas,37,HP:0007354
46,hemolytic anemia unspecified,cineas,46,HP:0001878
52,anencephaly inheritance unspecified,cineas,52,
55,growth disorder unspecified,cineas,55,
56,sex chromosome mosaicism,cineas,56,
57,anus atresia,cineas,57,
62,arthrogryposis unspecified,cineas,62,HP:0002804
66,ataxia unspecified,cineas,66,
69,ataxia telangiectasia,cineas,69,
70,adrenal hyperplasia unspecified,cineas,70,HP:0008221
73,distal arthrogryposis unspecified,cineas,73,HP:0005684
74,vermis agenesis,cineas,74,HP:0002335
75,anophthalmia unspecified,cineas,75,HP:0000528
79,beckwith wiedemann syndrome,cineas,79,
83,epicanthus inversus ptosis syndrome unspecified,cineas,83,
84,ptosis eyelid unspecified,cineas,84,HP:0000508
98,skeletal dysplasia unspecified,cineas,98,HP:0002652
103,brachycephaly,cineas,103,HP:0000248
106,sotos syndrome,cineas,106,
111,microcephaly unspecified,cineas,111,HP:0000252
112,hydrocephaly unspecified,cineas,112,HP:0000238
114,scleroderma familial progressive ad,cineas,114,HP:0100324
117,syndrome vater inheritance unspecified,cineas,117,
124,holt oram syndrome ad,cineas,124,
125,nail dysplasia ad,cineas,125,HP:0002164
131,edwards syndrome unspecified,cineas,131,
132,cri-du-chat syndrome monosomy chromosome (5)(p15.2),cineas,132,
133,chronic lymphocytic leukemia,cineas,133,HP:0005550
137,pierre robin syndrome inheritance unspecified,cineas,137,
139,cleft lip bilateral,cineas,139,HP:0100336
140,cleft lip unilateral,cineas,140,HP:0100333
143,spina bifida unspecified,cineas,143,HP:0002414
145,camptodactyly unspecified,cineas,145,HP:0012385
146,cerebellar ataxia unspecified,cineas,146,HP:0001251
148,clubfoot unspecified,cineas,148,
149,cockayne syndrome type 1 ar,cineas,149,
150,cutis laxa unspecified,cineas,150,
156,polydactyly unspecified,cineas,156,HP:0010442
157,situs inversus unspecified,cineas,157,
159,congenital nephrotic syndrome,cineas,159,HP:0008677
162,consanguinity,cineas,162,
164,myotonic dystrophy,cineas,164,
165,neuromuscular disease unspecified,cineas,165,
167,muscular dystrophy unspecified,cineas,167,HP:0003560
173,syndactyly unspecified,cineas,173,
176,alagille syndrome ad,cineas,176,
179,basal cell nevus syndrome ad,cineas,179,HP:0002671
184,caudal dysplasia syndrome,cineas,184,
186,cornelia de lange syndrome ad,cineas,186,
189,malignant melanoma ad,cineas,189,HP:0002861
190,ehlers-danlos syndrome unspecified,cineas,190,
192,fetal alcohol syndrome,cineas,192,
194,fragile x syndrome unspecified,cineas,194,
198,hemolytic uremic syndrome inheritance unspecified,cineas,198,HP:0005575
204,hypoplastic left heart syndrome inheritance unspecified,cineas,204,
205,kartagener syndrome ar,cineas,205,
214,marfan syndrome unspecified ad,cineas,214,
219,noonan syndrome ad,cineas,219,
220,prader-willi syndrome unspecified,cineas,220,
221,reiter syndrome,cineas,221,
233,von hippel lindau disease ad,cineas,233,
243,ehlers-danlos syndrome type 4,cineas,243,
250,osteogenesis imperfecta type 2 unspecified,cineas,250,
255,osteogenesis imperfecta type 4 unspecified ad,cineas,255,
256,mental deficiency course and pathogenecity unspecified,cineas,256,
257,multiple congenital anomalies mental retardation syndrome,cineas,257,
259,cystic fibrosis ar,cineas,259,HP:0012860
260,neural tube defect unspecified,cineas,260,HP:0045005
261,neurofibromatosis 1 ad,cineas,261,HP:0001067
267,tuberous sclerosis locus unspecified ad,cineas,267,
270,motor retardation unspecified,cineas,270,HP:0001270
271,hernia diaphragmatic inheritance unspecified,cineas,271,
273,hypoglycemia unspecified,cineas,273,
276,cohen syndrome ar,cineas,276,
277,connective tissue disorder unspecified,cineas,277,
278,congenital cataract,cineas,278,HP:0000519
280,congenital heart disease inheritance unspecified,cineas,280,
282,congenital heart malformation,cineas,282,HP:0045017
283,congenital eye malformation unspecified,cineas,283,
285,epilepsy unspecified,cineas,285,
293,diabetes mellitus unspecified,cineas,293,HP:0000819
298,ectrodactyly ad,cineas,298,HP:0100257
301,goldenhar syndrome inheritance unspecified,cineas,301,
305,arthrogryposis multiplex congenita unspecified,cineas,305,HP:0002804
306,psychomotor retardation unspecified,cineas,306,HP:0025356
309,smith-lemli-opitz syndrome,cineas,309,
311,mental retardation unspecified,cineas,311,HP:0001249
314,multiple congenital anomalies,cineas,314,HP:0001374
317,hereditary motor and sensory neuropathy type 1,cineas,317,HP:0007141
326,polysplenia,cineas,326,HP:0001748
330,spina bifida aperta,cineas,330,HP:0002414
339,ankyloblepharon ectodermal defects cleft lip/palate,cineas,339,
342,aortic arch syndrome,cineas,342,
345,holoprosencephaly ad,cineas,345,HP:0001360
350,freeman sheldon syndrome ad,cineas,350,
352,adducted thumbs syndrome xl,cineas,352,HP:0001181
354,borjeson forssman lehmann syndrome xl,cineas,354,
356,syndrome charge inheritance unspecified,cineas,356,
359,coffin lowry syndrome xl,cineas,359,
360,coffin siris syndrome inheritance unspecified,cineas,360,
361,craniofacial dysmorfism,cineas,361,HP:0012179
